Rank,Player,Age,Position,Org,ProspectRank,field7,field8,field9,field10,field11,field12,field13,field14,field15,field16
309,Max Muncy,34,3B,LAD,,,,,,,,,,,
310,Steele Hall,18,SS,CIN,59,,,,,,,,,,
311,Braden Montgomery,22,OF,CWS,60,,,,,,,,,,
312,Nolan Schanuel,23,1B,LAA,,,,,,,,,,,
313,Ryan Clifford,22,1B,NYM,61,,,,,,,,,,
314,Gage Jump,22,SP,ATH,62,,,,,,,,,,
315,Andrew Vaughn,27,1B,MIL,,,,,,,,,,,
316,Kumar Rocker,25,SP,TEX,,,,,,,,,,,
317,Jacob Reimer,21,3B,NYM,63,,,,,,,,,,
318,Ryan Sloan,19,SP,SEA,64,,,,,,,,,,
319,Lars Nootbaar,27,OF,STL,,,,,,,,,,,
320,Eli Willits,17,SS,WAS,65,,,,,,,,,,
321,Cooper Pratt,21,SS,MIL,66,,,,,,,,,,
322,Jurickson Profar,32,OF,ATL,,,,,,,,,,,
323,Ralphy Velazquez,20,1B,CLE,67,,,,,,,,,,
324,Seth Hernandez,19,SP,PIT,68,,,,,,,,,,
325,Josh Jung,27,3B,TEX,,,,,,,,,,,
326,Christian Walker,34,1B,HOU,,,,,,,,,,,
327,Luis Arraez,28,1B,SDP,,,,,,,,,,,
328,Jakob Marsee,24,OF,MIA,,,,,,,,,,,
329,Dillon Dingler,26,C,DET,,,,,,,,,,,
330,Jung Hoo Lee,27,OF,SFG,,,,,,,,,,,
331,Edgar Quero,22,C,CWS,,,,,,,,,,,
332,Brendan Donovan,28,2B,STL,,,,,,,,,,,
333,Evan Carter,22,OF,TEX,,,,,,,,,,,
334,Adolis Garcia,32,OF,TEX,,,,,,,,,,,
335,Jesus Sanchez,27,OF,HOU,,,,,,,,,,,
336,Giancarlo Stanton,35,OF,NYY,,,,,,,,,,,
337,Marcell Ozuna,34,UT,FA,,,,,,,,,,,
338,Tyler O'Neill,30,OF,BAL,,,,,,,,,,,
339,Aiva Arquette,22,SS,MIA,69,,,,,,,,,,
340,Ha-Seong Kim,29,SS,FA,,,,,,,,,,,
341,Jordan Beck,24,OF,COL,,,,,,,,,,,
342,Moises Ballesteros,21,C,CHC,70,,,,,,,,,,
343,Marcus Semien,34,2B,TEX,,,,,,,,,,,
344,Brandon Pfaadt,25,SP,ARI,,,,,,,,,,,
345,Jose Soriano,25,SP,LAA,,,,,,,,,,,
346,Reese Olson,24,SP,DET,,,,,,,,,,,
347,Robert Suarez,33,RP,FA,,,,,,,,,,,
348,Aroldis Chapman,36,RP,BOS,,,,,,,,,,,
349,Tanner Scott,29,RP,LAD,,,,,,,,,,,
350,Alfredo Duno,19,C,CIN,71,,,,,,,,,,
351,Emil Morales,19,SS,LAD,72,,,,,,,,,,
352,Jett Williams,22,SS,NYM,73,,,,,,,,,,
353,Lenyn Sosa,25,2B,CWS,,,,,,,,,,,
354,Charlie Condon,22,OF,COL,74,,,,,,,,,,
355,Juneiker Caceres,18,OF,CLE,75,,,,,,,,,,
356,Ramon Laureano,31,OF,SDP,,,,,,,,,,,
357,Hector Rodriguez,21,OF,CIN,76,,,,,,,,,,
358,Raisel Iglesias,34,RP,FA,,,,,,,,,,,
359,Shane Smith,25,SP,CWS,,,,,,,,,,,
360,Miguel Vargas,25,3B,CWS,,,,,,,,,,,
361,Carson Williams,22,SS,TBR,77,,,,,,,,,,
362,Gavin Fien,18,SS,TEX,78,,,,,,,,,,
363,Spencer Steer,27,1B,CIN,,,,,,,,,,,
364,Ethan Holliday,18,SS,COL,79,,,,,,,,,,
365,Max Meyer,26,SP,MIA,,,,,,,,,,,
366,Mickey Moniak,27,OF,COL,,,,,,,,,,,
367,Bo Davidson,23,OF,SFG,80,,,,,,,,,,
368,Kyson Witherspoon,21,SP,BOS,81,,,,,,,,,,
