Rank,Change,Player,Team,POS.,SEC.POS.,Age,ETA,Prospect,August
273,15,Tyson Lewis,CIN,SS,-,20.21,2028,68,288
274,-10,Brendan Donovan,STL,2B,"OF^, SS*",29.19,-,-,264
275,0,Liam Doyle,STL,LHP,-,21.81,2026,69,275
276,2,Evan Carter,TEX,OF,-,23.57,-,-,278
277,45,Ian Happ,CHC,OF,-,31.62,-,-,322
278,-80,Aaron Nola,PHI,RHP,-,32.81,-,-,198
279,12,Jack Leiter,TEX,RHP,-,25.93,-,-,291
280,40,Brody Hopkins,TB,RHP,-,24.19,2026,70,320
281,-,Ralphy Velazquez,CLE,1B,OF,20.83,2027,71,-
282,210,Braxton Ashcraft,PIT,RHP,-,26.47,-,-,492
283,-,Hurston Waldrep,ATL,RHP,-,24.07,-,-,-
284,30,Kaelen Culpepper,MIN,SS,"2B, 3B",23.24,2026,72,314
285,-30,Triston Casas,BOS,1B,-,26.19,-,-,255
286,-150,Cam Smith,HOU,OF,-,23.09,-,-,136
287,-45,Casey Mize,DET,RHP,-,28.9,-,-,242
288,-,Munetaka Murakami,-,3B,-,26.15,2026,73,-
289,50,Alejandro Kirk,TOR,C,-,27.39,-,-,339
290,-64,Daniel Palencia,CHC,RHP,-,25.53,-,-,226
291,-64,Kristian Campbell,BOS,2B,OF*,23.74,-,-,227
292,-55,Theo Gillen,TB,OF,-,20.54,2028,74,237
293,-45,Matthew Boyd,CHC,LHP,-,35.15,-,-,248
294,40,Mickey Moniak,COL,OF,-,27.87,-,-,334
295,0,Ryan Helsley,-,RHP,-,31.08,-,-,295
296,-55,Kodai Senga,NYM,RHP,-,33.15,-,-,241
297,4,Braden Montgomery,CHW,OF,-,22.91,2026,75,301
298,-65,Mike Trout,LAA,OF,-,34.63,-,-,233
299,-,Kazuma Okamoto,-,3B,1B,29.74,2026,76,-
300,40,Justin Crawford,PHI,OF,-,22.2,2026,77,340
301,125,Trevor Rogers,BAL,LHP,-,28.37,-,-,426
302,-35,Coby Mayo,BAL,1B,3B*,24.29,-,-,267
303,85,Spencer Steer,CIN,1B,OF^,28.3,-,-,388
304,5,A.J. Ewing,NYM,OF,2B,21.63,2027,78,309
305,5,Gage Wood,PHI,RHP,-,22.28,2026,79,310
306,-140,Clay Holmes,NYM,RHP,-,32.38,-,-,166
307,180,Brett Baty,NYM,3B,2B,26.37,-,-,487
308,-55,Cooper Pratt,MIL,SS,-,21.6,2026,80,253
309,-35,Taj Bradley,MIN,RHP,-,25.01,-,-,274
310,-48,Alex Freeland,LAD,3B,2B,24.59,-,81,262
311,-40,Slade Caldwell,ARI,OF,-,19.77,2028,82,271
312,0,Alec Bohm,PHI,3B,1B^,29.64,-,-,312
313,15,Jacob Reimer,NYM,3B,1B,22.09,2026,83,328
314,-60,Xander Bogaerts,SD,SS,-,33.48,-,-,254
315,-10,Colt Keith,DET,3B,"2B, 1B^",24.61,-,-,305
316,-40,Will Warren,NYY,RHP,-,26.78,-,-,276
317,50,Robby Snelling,MIA,LHP,-,22.27,2026,84,367
318,-,Dax Kilby,NYY,SS,-,19.36,2029,85,-
319,0,Brady House,WAS,3B,-,22.81,-,-,319
320,-40,Jung Hoo Lee,SF,OF,-,27.6,-,-,280
321,0,Seth Hernandez,PIT,RHP,-,19.74,2028,86,321
322,-32,Anthony Santander,TOR,OF,1B*,31.43,-,-,290
323,-88,Josh Lowe,TB,OF,-,28.15,-,-,235
324,25,Gabriel Moreno,ARI,C,-,26.11,-,-,349
325,-40,Tommy Troy,ARI,2B,OF,24.19,2026,87,285
326,0,Pete Fairbanks,-,RHP,-,31.66,-,-,326
327,24,Trent Grisham,NYY,OF,-,29.4,-,-,351
328,110,Brandon Sproat,NYM,RHP,-,25.52,-,88,438
329,0,José Soriano,LAA,RHP,-,27.43,-,-,329
330,-65,Grant Taylor,CHW,RHP,-,23.85,-,89,265
331,0,Jackson Jobe,DET,RHP,-,23.65,-,-,331
332,-24,Emilio Pagán,-,RHP,-,34.27,-,-,308
333,90,Quinn Priester,MIL,RHP,-,25.53,-,-,423
334,-100,Christian Moore,LAA,2B,-,23.43,-,-,234
335,0,Brandon Pfaadt,ARI,RHP,-,27.44,-,-,335
336,-25,Angel Genao,CLE,SS,-,21.85,2026,90,311
337,0,Gavin Fien,TEX,SS,-,19.05,2029,91,337
338,0,Noah Cameron,KC,LHP,-,26.69,-,-,338
339,-,Alfredo Duno,CIN,C,-,20.22,2028,92,-
340,40,Jarlin Susana,WAS,RHP,-,22.01,2026,93,380
341,-5,Kyle Teel,CHW,C,OF*,24.11,-,-,336
342,140,Abner Uribe,MIL,RHP,-,25.15,-,-,482
343,-25,Kayson Cunningham,ARI,SS,-,19.75,2029,94,318
344,0,Brayan Bello,BOS,RHP,-,26.86,-,-,344
345,102,Jurickson Profar,ATL,OF,-,33.1,-,-,447
346,0,Reese Olson,DET,RHP,-,26.65,-,-,346
347,5,Jaxon Wiggins,CHC,RHP,-,24.48,2026,95,352
348,-50,Carlos Correa,HOU,SS,3B,31.51,-,-,298
349,5,Josh Jung,TEX,3B,-,28.12,-,-,354
350,5,Max Meyer,MIA,RHP,-,27.04,-,-,355
351,55,Daulton Varsho,TOR,OF,-,29.73,-,-,406
352,105,Colby Thomas,ATH,OF,-,25.16,-,96,457
353,-50,Cole Young,SEA,2B,SS*,22.66,-,-,303
354,-50,Spencer Jones,NYY,OF,-,24.86,2026,97,304
355,55,Jacob Melton,HOU,OF,-,25.55,-,98,410
356,-40,TJ Friedl,CIN,OF,-,30.61,-,-,316
357,80,Christian Walker,HOU,1B,-,34.99,-,-,437
358,5,Steele Hall,CIN,SS,-,18.67,2029,99,363
359,5,Otto Lopez,MIA,SS,2B,27.48,-,-,364
360,5,Logan Henderson,MIL,RHP,-,24.06,-,100,365
361,0,Austin Wells,NYY,C,-,26.7,-,-,361
362,-30,Jonathon Long,CHC,1B,"3B, OF",24.18,2026,101,332
363,10,Carlos Estévez,KC,RHP,-,32.63,-,-,373
364,-40,Aroon Escobar,PHI,2B,-,21.23,2027,102,324
365,-50,Kevin Alcántara,CHC,OF,-,23.7,-,103,315
366,100,Carlos Lagrange,NYY,RHP,-,22.83,2026,104,466
367,100,Justin Steele,CHC,LHP,-,30.71,-,-,467
368,40,Shane Smith,CHW,RHP,-,25.98,-,-,408
369,115,Caleb Durbin,MIL,3B,"2B^, SS*",26.09,-,-,484
370,45,Joe Musgrove,SD,RHP,-,33.31,-,-,415
371,0,Jamie Arnold,ATH,LHP,-,22.01,2026,105,371
372,64,Bailey Ober,MIN,RHP,-,30.7,-,-,436
373,-32,Luis Arraez,-,1B,2B^,28.96,-,-,341
374,-15,Adolis García,TEX,OF,-,33.06,-,-,359
375,0,Victor Robles,SEA,OF,-,28.85,-,-,375
376,-95,Didier Fuentes,ATL,RHP,-,20.77,-,106,281
377,-,Devin Williams,-,RHP,-,30.9,-,-,-
378,-,Luis Perales,BOS,RHP,-,22.95,2026,107,-
379,-80,Logan O'Hoppe,LAA,C,-,26.15,-,-,299
380,-180,Dalton Rushing,LAD,C,1B*,25.09,-,-,200
381,-,Juan Sanchez,TOR,3B,SS,18.49,2029,108,-
382,-40,Merrill Kelly,-,RHP,-,37.45,-,-,342
383,115,Emil Morales,LAD,SS,3B,19.51,2028,109,498
384,75,Lenyn Sosa,CHW,2B,"1B, 3B*",26.17,-,-,459
385,20,Raisel Iglesias,-,RHP,-,35.61,-,-,405
386,-120,Matt Wallner,MIN,OF,-,28.29,-,-,266
387,0,Felnin Celesten,SEA,SS,-,20.53,2027,110,387
388,10,Cade Cavalli,WAS,RHP,-,27.61,-,-,398
389,50,Ramón Laureano,SD,OF,-,31.69,-,-,439
390,0,Brooks Lee,MIN,SS,"3B, 2B",25.11,-,-,390
391,-15,Noah Schultz,CHW,LHP,-,22.64,2026,111,376
392,0,Salvador Perez,KC,C,1B,35.88,-,-,392
393,0,Ethan Conrad,CHC,OF,-,21.72,2027,112,393
394,-100,Cedric Mullins,-,OF,-,31.48,-,-,294
395,-50,Jefferson Rojas,CHC,SS,"2B, 3B",20.92,2027,113,345
396,0,Jake Burger,TEX,1B,-,29.96,-,-,396
397,0,Miguel Vargas,CHW,3B,"1B, OF*",26.36,-,-,397
398,-50,Lars Nootbaar,STL,OF,-,28.55,-,-,348
399,-5,Kenley Jansen,-,RHP,-,37.88,-,-,394
400,-50,Max Muncy,LAD,3B,-,35.58,-,-,350
401,0,Luis Gil,NYY,RHP,-,27.81,-,-,401
402,-110,Harry Ford,SEA,C,-,23.09,-,114,292
403,50,Mike Burrows,PIT,RHP,-,26.38,-,-,453
404,0,Demetrio Crisantes,ARI,2B,3B,21.56,2027,115,404
405,-10,Kumar Rocker,TEX,RHP,-,26.34,-,-,395
406,-160,Jesús Sánchez,HOU,OF,-,28.47,-,-,246
407,-30,Victor Scott II,STL,OF,-,25.12,-,-,377
408,-55,Xavier Isaac,TB,1B,-,22.27,2027,116,353
409,0,Christian Scott,NYM,RHP,-,26.78,-,117,409
410,-124,Landen Roupp,SF,RHP,-,27.54,-,-,286
411,0,Parker Meadows,DET,OF,-,26.4,-,-,411
412,-30,Andrew Vaughn,MIL,1B,-,27.98,-,-,382
413,0,Jordan Walker,STL,OF,-,23.84,-,-,413
414,-45,Brock Wilken,MIL,3B,-,23.77,2026,118,369
415,-26,Spencer Arrighetti,HOU,RHP,-,26.23,-,-,389
416,-120,Matthew Liberatore,STL,LHP,-,26.39,-,-,296
417,-36,Ha-Seong Kim,-,SS,2B*,30.44,-,-,381
